Quantity	Component name	Link to sample part
1	Heavy duty electronics enclosure	http://www.polycase.com/dc-96p or equivalent
4	Rubber feet	http://www.ebay.com/itm/20-Self-Adhesive-Rubber-Protective-Black-Legs-Feet-Bumpers-Pads-81-x-30-USA-/111984449270 or equivalent
1	4-40 sheet metal screw	
7	5/8"  or 3/4" 4-40 nylon screws	
7	4-40 nylon washers	
7	4-40 nylon nuts	
7	1/4" nylon spacers for #4 screws	
2	1" 6-32 nylon screws	
2	1/2" nylon spacers for #6 screws	
2	1/8" nylon spacers (or thick washer) for #6 screws	
2	6-32 nylon washers	
2	6-32 nylon nuts	
